sample_id	h0	h1	h2
SRS8423014	3465.0	1394.7389050250517	995.2423792457242
SRS8423015	4537.0	1422.6651847261035	1001.7190017850218
SRS8423016	3394.0	1385.5420902232354	1009.2711174943677
SRS8423017	2589.0	1280.308770059804	902.8610703737334
SRS8423018	4110.0	1424.3857697785177	1009.3082771537381
SRS8423019	3245.0	1384.5658846459069	992.5958262481416
SRS8423020	4350.0	1421.8647658106788	999.3818400391291
SRS8423021	3153.0	1396.8671968968215	1003.742973824881
SRS8423022	3288.0	1390.8233870883896	998.0477503123482
SRS8423023	4170.0	1376.4459444047852	992.3399591344024
SRS8423024	3600.0	1427.566451382464	1012.2208586473159
SRS8423025	4053.0	1374.607507031613	983.6140231101967
SRS8423026	3139.0	1387.9561268698487	980.6516823685171
SRS8423027	4117.0	1290.6681352423682	931.3161869956587
SRS8423028	3093.0	1282.3449733206032	921.751049141665
SRS8423029	4461.0	1407.9753251863362	998.7636830437706
SRS8423030	4086.0	1303.325771459252	932.6762454494378
SRS8423031	3232.0	1335.7211089317532	963.8211865219403
SRS8423032	4664.0	1462.0948444067246	1025.0495654428157
SRS8423033	3204.0	1323.9584785387203	961.6524662155246
SRS8423034	2980.0	1348.3948385174963	965.2977711315829
ERS3136834	3052.0	1504.075632063439	1175.568119676986
ERS3136835	3044.0	1533.435380185557	1178.6397503312999
ERS3136836	2874.0	1536.1638040074777	1158.2809841356852
ERS3136837	3147.0	1546.1242318174557	1136.5759168644938
ERS3136838	2337.0	1514.6788143131894	1185.5273995451973
ERS3136839	2400.0	1551.2552007679342	1201.605450155505
ERS3136840	2656.0	1497.014027820728	1101.1340892280969
ERS3136841	2434.0	1509.331782437107	1098.517695225262
ERS3136842	2494.0	1494.1483710785785	1076.6630816550683
ERS3136843	2438.0	1563.4855492623628	1166.8843012739687
ERS3136844	2151.0	1426.3169149786559	1045.408008890917
ERS3136845	2085.0	1342.823032450987	1009.6545885849822
ERS3136846	2902.0	1397.673109560436	1044.3959423452777
ERS3136847	2908.0	1412.2876761577525	1066.1614445366788
ERS3136848	3093.0	1482.991286386205	1101.980279235558
ERS3136849	2776.0	1352.6620815364765	1026.0372496334169
ERS3136850	2850.0	1369.2624545339281	1045.3755505931738
ERS3136851	3110.0	1509.612623717985	1118.4590093376098
ERS3136852	2351.0	1676.2593693034803	1290.4864558174722
ERS3136853	3096.0	1515.4567264424159	1120.0636351656246
ERS3136854	2871.0	1429.4957417238884	1077.6506633386568
ERS3136855	2868.0	1435.2091448080769	1078.033024537993
ERS3136856	2963.0	1466.4221083472044	1099.1102102136308
ERS3136857	2188.0	1415.3279699216057	1061.0571439085743
ERS3136858	2637.0	1326.9180473487374	986.7468806548433
ERS3136859	2807.0	1352.268350387652	991.6791566326096
ERS3136860	1640.0	1149.0995372189986	911.6556034013483
ERS3136861	2461.0	1140.4891676562531	888.0440929000072
ERS3136862	2129.0	1228.4803239716682	924.2538344159279
ERS3136864	2700.0	1504.3835763515194	1078.2268676258507
ERS3136865	2042.0	1307.645231703029	1001.7105394269287
ERS3136866	2280.0	1149.3310756692645	877.7160421030411
ERS3136867	4056.0	1466.602034420884	1038.066816772381
ERS3136868	2747.0	1207.052242312649	910.5731654917953
ERS3136869	2442.0	1221.6163231616058	932.3701452768074
ERS3136870	2601.0	1591.571276452481	1167.1107771582022
ERS3136871	2199.0	1396.2941401912265	1027.4606574786148
ERS3136872	2395.0	1573.5330191577011	1170.742995228819
ERS3136873	2661.0	1551.7841671459469	1112.6489048459173
ERS3136874	2600.0	1496.3778156623816	1066.7375169360728
ERS3136875	2313.0	1524.9241006196278	1110.455933102111
ERS3136876	1819.0	1161.1177683474623	866.652555204217
ERS3136877	2256.0	1448.2958066583549	1031.8732468476503
ERS3136878	2165.0	1464.1445239633917	1082.8703486782051
