ASV_ID	OTU_ID
ASV3239148	ASV3239137
ASV3239160	ASV3238579
ASV3239161	ASV3238579
ASV3239163	ASV3238579
ASV3239168	ASV3238816
ASV3239174	ASV3238816
ASV3239177	ASV3238816
ASV3239192	ASV3238781
ASV3239193	ASV3238781
ASV3239194	ASV3238781
ASV3239195	ASV3238781
ASV3239199	ASV3238781
ASV3239200	ASV3238781
ASV3239214	ASV3239164
ASV3239225	ASV3239222
ASV3239228	ASV3239222
ASV3239232	ASV3239222
ASV3239235	ASV3239222
ASV3239239	ASV3239222
ASV3239242	ASV3239222
ASV3239259	ASV3238580
ASV3239261	ASV3238580
ASV3239266	ASV3238888
ASV3239276	ASV3239271
ASV3239314	ASV3238579
ASV3239338	ASV3238934
ASV3239342	ASV3239329
ASV3239350	ASV3238934
ASV3239360	ASV3239356
ASV3239361	ASV3239356
ASV3239370	ASV3239368
ASV3239388	ASV3239385
ASV3239396	ASV3239393
ASV3239397	ASV3239393
ASV3239398	ASV3239393
ASV3239400	ASV3239393
ASV3239403	ASV3239368
ASV3239406	ASV3239393
ASV3239414	ASV3239376
ASV3239415	ASV3239376
ASV3239417	ASV3239376
ASV3239422	ASV3239376
ASV3239424	ASV3239376
ASV3239427	ASV3239426
ASV3239437	ASV3239426
ASV3239438	ASV3239426
ASV3239473	ASV3239471
ASV3239476	ASV3238934
ASV3239481	ASV3238934
ASV3239484	ASV3238926
ASV3239485	ASV3238926
ASV3239486	ASV3238926
ASV3239487	ASV3238926
ASV3239491	ASV3238926
ASV3239493	ASV3238926
ASV3239498	ASV3238926
ASV3239501	ASV3238926
ASV3239502	ASV3238926
ASV3239504	ASV3238926
ASV3239508	ASV3238926
ASV3239509	ASV3238926
ASV3239512	ASV3238926
ASV3239513	ASV3238926
ASV3239514	ASV3238926
ASV3239522	ASV3238926
ASV3239523	ASV3238926
ASV3239528	ASV3238926
ASV3239530	ASV3238579
ASV3239532	ASV3238579
ASV3239533	ASV3238579
ASV3239534	ASV3238579
ASV3239541	ASV3239536
ASV3239542	ASV3239356
ASV3239544	ASV3239543
ASV3239549	ASV3238579
ASV3239551	ASV3238579
ASV3239557	ASV3239556
ASV3239559	ASV3239536
ASV3239560	ASV3239536
ASV3239563	ASV3239561
ASV3239564	ASV3239561
ASV3239565	ASV3239561
ASV3239570	ASV3239556
ASV3239590	ASV3239426
ASV3239603	ASV3239596
ASV3239607	ASV3239426
