sample_id	h0	h1	h2
ERS3644961	163.0	39.6195691775954	19.51690304698459
ERS3644962	218.0	58.29823336098919	28.975513394765947
ERS3644963	208.0	39.16595498942589	14.888515839204869
ERS3644964	280.0	68.33212842617775	32.5890739881812
ERS3644965	91.0	18.14647775865954	9.325510496402458
ERS3644966	242.0	63.209857070790044	32.45588585067421
ERS3644967	241.0	53.96986972406208	26.157278449369166
ERS3644968	155.0	27.04190413334032	11.57576701014101
ERS3644969	174.0	30.788892566330663	11.660103075163553
ERS3644970	261.0	64.95157185176465	27.172126687989866
ERS3644971	150.0	37.88895344079251	16.294286653223434
ERS3644972	278.0	77.78279626823509	36.715888879423225
ERS3644973	50.0	8.710337245741181	4.188605557575686
ERS3644974	138.0	21.91155047679476	9.636068707108318
ERS3644975	231.0	37.56753774431818	18.003860079100242
ERS3644976	98.0	25.694543932058625	14.235807378929916
ERS3644977	178.0	37.65702855003747	20.416199619622855
ERS3644978	74.0	14.125741477306228	7.87923627033383
ERS3644979	147.0	32.73528639191269	14.640100346610271
ERS3644980	144.0	48.67062982708948	26.392738129516705
ERS3644981	174.0	54.17525143431342	28.92273955736703
ERS3644982	148.0	42.25729951705941	16.85189004296159
ERS3644983	175.0	30.92899155775974	11.746594665747333
ERS3644984	153.0	43.31506567979669	17.850701883949426
ERS3644985	184.0	43.350240628372546	20.28006773556909
ERS3644986	129.0	39.171672784738824	23.540012368008146
ERS3644987	153.0	41.64178253186448	20.266948929562215
ERS3644988	70.0	8.662091109593014	3.700020628488034
ERS3644989	191.0	50.703912741461345	23.895598331784026
ERS3644990	188.0	36.17733772929323	12.23797482236603
ERS3644991	225.0	77.414430614442	39.52316551642789
ERS3644992	88.0	23.607205594775472	9.80371253445295
ERS3644993	200.0	58.470911799894466	31.02038950027122
ERS3644994	163.0	25.31972424608993	9.069427404749735
ERS3644995	119.0	37.32064569290716	20.944513539453737
ERS3644996	208.0	45.250741607851964	24.143552923550846
ERS3644997	214.0	62.88304819005357	36.51908012501789
ERS3644998	127.0	32.22836493022385	16.57286407239887
ERS3644999	206.0	54.508075122315354	28.971674897954752
ERS3645000	126.0	33.26814541377651	19.282828992595412
ERS3645001	210.0	42.42828200938214	16.516091968265226
ERS3645002	180.0	36.11032091924289	16.627241756974513
ERS3645003	136.0	37.548347620641906	17.766526532607333
ERS3645004	144.0	31.88682015902041	16.77742228597382
ERS3645005	149.0	27.285689119710337	9.812945704187426
ERS3645006	122.0	37.101985120161025	21.174434404286615
ERS3645007	88.0	22.153538731637198	13.164878329364376
ERS3645008	196.0	46.9463308404794	24.33502465637692
ERS3645009	154.0	37.65805908599471	17.484051247443105
ERS3645010	158.0	44.501713199778564	20.905897439718814
ERS3645011	205.0	65.62598777311503	32.959316873393085
ERS3645012	135.0	26.925639913466977	13.572179336478447
ERS3645013	168.0	51.81085255214031	24.96448639582596
ERS3645014	198.0	53.5174696777157	26.34288125133736
ERS3645015	233.0	40.00440066193185	20.634216916882316
ERS3645016	125.0	29.173588408029197	13.606529272363945
ERS3645017	161.0	40.05941791302539	22.419390448824846
ERS3645018	184.0	44.60997191764389	23.44594500623217
ERS3645019	89.0	23.54753991372301	15.885962678928452
